,date,precip_in,mean_temp_c,month,year,p,eto_zone_8,ETo,wy,annual_precip,mean_annual_precip,precip_percent,precip_percent_lag1,soil_water,water_into_soil,excess_water,runoff,water_cap_percent,deep_fault_flow,pond_et,pond_area,pond_volume,pond_elev,direct_rainfall,gw_storage,gw_in_seep,gw_seep_percent,gw_in,gw_out_et,gw_out_bottom,not_root_water,ins,outs,calib_wse_ft
0,1975-10-01,1.56,15.55555556,10,1975,0.25,3.41,3.7370174582185633,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,471.75,0.0,0,0,0,0.0,0.0,0.0,0.0,,,
1,1975-11-01,0.28,11.16666667,11,1975,0.225578822,1.8,2.142722593383419,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0177932318571241,5.7,0.0,471.75,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
2,1975-12-01,0.31,9.166666667000001,12,1975,0.215578822,0.93,1.5124046081739613,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7183921888826317,5.7,0.0,471.75,0.34525302581457223,0,0,0,0.0,0.25460992383150677,0.0,0.0,0.34525302581457223,1.2724031556886308,
3,1976-01-01,0.22,9.333333332999999,1,1976,0.225578822,1.24,1.6292403406791962,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7738891618226182,5.7,0.0,471.75,0.24501827638453513,0,0,0,0.09679512562057777,0.17971212105508752,0.0,0.0,0.3418134020051129,0.8981043099377192,
4,1976-02-01,1.03,10.16666667,2,1976,0.245578822,1.68,2.027784648477605,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1965558530866853,7.0809640697399745,0.24833999770820303,471.76328412087554,1.147131021254869,0,0,0,0.06869331495653906,0.19359517668058684,0.0,0.0,1.215824336211408,0.967484338503205,
5,1976-03-01,1.94,11.22222222,3,1976,0.27,3.41,2.5832935603157607,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.3155965541388173,15.401717892566012,1.7446685630706773,471.8433252327193,2.6840775808026414,0,0,0,0.3216096109328874,0.29932896493981737,0.013473808346551512,0.0,3.005687191735529,1.5093586263730543,
6,1976-04-01,1.02,12.55555556,4,1976,0.294421178,4.8,3.3043582904833704,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6015409656386197,13.07923892882128,1.3270151040329505,471.8209842522685,3.069518675299304,0,0,0,0.7525078918459762,0.8294256236750014,0.09465784836918859,0.0,3.82202656714528,4.239680026183007,
7,1976-05-01,0.0,17.33333333,5,1976,0.314421178,6.2,5.394014445721009,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5621568617174795,5.7,0.0,471.75,0.0,0,0,0,0.8605701429243351,0.9009571317978909,0.07199785515713762,0.0,0.8605701429243351,4.574495952593648,
8,1976-06-01,0.07,19.83333333,6,1976,0.328842356,6.9,6.662151231568172,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1645218349948823,5.7,0.0,471.75,0.07796036066780664,0,0,0,0.0,0.6409460615256238,0.0,0.0,0.07796036066780664,3.203102923243103,
9,1976-07-01,0.0,21.22222222,7,1976,0.32442117800000003,7.44,7.132032203256749,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.3877152965469555,5.7,0.0,471.75,0.0,0,0,0,0.021856963849807884,0.7916329546631258,0.0,0.0,0.021856963849807884,3.956154789658008,
10,1976-08-01,0.96,20.16666667,8,1976,0.304421178,6.51,6.293383572993331,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.9893571971718327,5.7,0.0,471.75,1.0691706605870623,0,0,0,0.0,0.8474667610461505,0.0,0.0,1.0691706605870623,4.235182057593106,
11,1976-09-01,1.33,20.44444444,9,1976,0.28,5.1,5.885087546453474,1976,8.719999999999999,18.449111111111108,0.47265149781380617,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.7954165845654004,5.7,0.0,471.75,1.481246852688326,0,0,0,0.2997526470830795,0.7478139807319247,0.0,0.0,1.7809994997714056,3.7371711779037575,
12,1976-10-01,1.01,18.16666667,10,1976,0.25,3.41,4.547513762946004,1977,9.75,18.449111111111108,0.5284807458353912,0.47265149781380617,0.0,0.0,0.0,0.0,1.0,0.0,2.1600690373993516,5.7,0.0,471.75,1.1248566324926386,0,0,0,0.1962838073242043,0.6992980316589885,0.0,0.0,1.321140439816843,3.494714616224389,
13,1976-11-01,1.16,14.0,11,1976,0.225578822,1.8,2.936286072314669,1977,9.75,18.449111111111108,0.5284807458353912,0.47265149781380617,0.0,0.0,0.0,0.0,1.0,0.0,1.3947358843494677,5.7,0.0,471.75,1.291914548209367,0,0,0,0.14905762811838072,0.5403602577308644,0.0,0.0,1.4409721763277477,2.700429295130216,
