,date,precip_in,mean_temp_c,month,year,wy,count_col,p,eto_zone_8,ETo,annual_precip,mean_annual_precip,precip_percent,precip_percent_lag1,soil_water,water_into_soil,excess_water,runoff,water_cap_percent,deep_fault_flow,pond_et,pond_area,pond_volume,pond_elev,direct_rainfall,gw_storage,gw_in_seep,gw_seep_percent,gw_in,gw_out_et,gw_out_bottom,not_root_water,ins,outs
405,2009-07-01,0.0,69.9,7,2009,2009,69.9,0.32442117800000003,7.44,7.0648980252614955,15.35,18.116037135314514,0.8473155517040458,0.7888038588827893,0.0,0.0,0.0,0.0,1.0,240.88486810466298,251.14952059044728,426.58708396202456,179.15965903967302,472.7456974963718,0.0,0,0,0,0.0,20.708514949067904,2.3959631076600174,0.0,240.88486810466298,105.8859583143117
406,2009-08-01,0.0,70.6,8,2009,2009,70.6,0.304421178,6.51,6.7763487986683595,15.35,18.116037135314514,0.8473155517040458,0.7888038588827893,0.0,0.0,0.0,0.0,1.0,293.6229753228437,219.98039934408206,389.5556250952921,149.08545838740156,472.68095357126305,0.0,0,0,0,0.0,62.82726022070676,9.720395163961065,0.0,293.6229753228437,323.6971759751151
407,2009-09-01,0.23,70.8,9,2009,2009,70.8,0.28,5.1,6.27136662994044,15.35,18.116037135314514,0.8473155517040458,0.7888038588827893,0.0,0.0,0.0,0.0,1.0,295.659195678758,222.9353897312009,426.5776240863497,179.15197643121257,472.74568095720485,17.506456927137023,0,0,0,0.0,55.030030559299114,8.088704658702847,0.0,313.16565260589505,283.09913456208403
408,2009-10-01,4.81,61.0,10,2009,2010,61.0,0.25,3.41,3.9094634769014567,23.349999999999998,18.116037135314514,1.2889132333739068,0.8473155517040458,0.9005365230985429,0.9005365230985429,0.0,0.0,0.7593066737447289,268.57746494509763,186.36412394389245,572.04,297.28571499999657,473.0,400.90741709302125,0,0,0,4.158717575005518,42.345961724961036,9.71997834027137,0.0,673.6435996131245,275.0013297964333
409,2009-11-01,0.24,54.4,11,2009,2010,54.4,0.225578822,1.8,2.500604162751599,23.349999999999998,18.116037135314514,1.2889132333739068,0.8473155517040458,0.0,0.0,0.0,0.0,1.0,231.3146324318657,119.2038004383687,572.04,297.28571499999657,473.0,26.82492913901626,0,0,0,95.23690192447617,46.6206237754305,16.129382260996447,0.0,353.37646349535817,249.11412998031938
410,2009-12-01,2.58,48.1,12,2009,2010,48.1,0.215578822,0.93,1.4529234751758713,23.349999999999998,18.116037135314514,1.2889132333739068,0.8473155517040458,1.1270765248241288,1.1270765248241288,0.0,0.0,0.6987575842335204,194.05179991863383,69.26086206163377,572.04,297.28571499999657,473.0,288.3679882444248,0,0,0,6.372351911241269,20.836866263070316,16.129382260996447,0.0,488.7921400742999,156.17004896243546
411,2010-01-01,7.09,50.3,1,2010,2010,50.3,0.225578822,1.24,1.8626413670894317,23.349999999999998,18.116037135314514,1.2889132333739068,0.8473155517040458,3.741427056201237,2.614350531377108,2.6130081015334605,67104.3899994404,0.0,66.99164970958071,88.7921139691532,572.04,297.28571499999657,473.0,792.4531149817719,0,0,0,68.50278304584364,0.0,16.129382260996447,0.0,68032.33754717761,85.39024432263022
412,2010-02-01,2.98,52.1,2,2010,2010,52.1,0.245578822,1.68,2.3326981050491855,23.349999999999998,18.116037135314514,1.2889132333739068,0.8473155517040458,3.741427056201237,0.0,0.6473018949508145,16623.292817448633,0.0,18.936849310002945,111.19971866769467,572.04,297.28571499999657,473.0,333.0762034761185,0,0,0,188.24989604458582,0.0,16.129382260996447,0.0,17163.55576627934,104.92149623014966
413,2010-03-01,1.54,53.2,3,2010,2010,53.2,0.27,3.41,2.7695352670005247,23.349999999999998,18.116037135314514,1.2889132333739068,0.8473155517040458,2.5118917892007118,0.0,0.0,0.0,0.3286273522191563,109.95589921937271,132.023746177915,572.04,297.28571499999657,473.0,172.126628642021,0,0,0,79.12336956457908,9.141619989947374,16.129382260996447,0.0,361.2058974259728,136.4707209186385
414,2010-04-01,3.6,53.2,4,2010,2010,53.2,0.294421178,4.8,3.0200364289734773,23.349999999999998,18.116037135314514,1.2889132333739068,0.8473155517040458,3.0918553602272345,0.5799635710265227,0.0,0.0,0.17361602570798973,107.51243479227551,143.96513656916568,572.04,297.28571499999657,473.0,402.3739370852439,0,0,0,40.889258097131474,5.733999226496456,16.129382260996447,0.0,550.7756299746509,153.8871276654079
