,date,precip_in,mean_temp_c,month,year,wy,count_col,p,eto_zone_8,ETo,annual_precip,mean_annual_precip,precip_percent,precip_percent_lag1,soil_water,water_into_soil,excess_water,runoff,water_cap_percent,deep_fault_flow,pond_et,pond_area,pond_volume,pond_elev,direct_rainfall,gw_storage,gw_in_seep,gw_seep_percent,gw_in,gw_out_et,gw_out_bottom,not_root_water,ins,outs
1346,2087-12-01,0.290459016,15.628,12,2087,2088,,0.215578822,0.93,-3.3757551776097134,34.956392954,17.03277423976613,2.052301783721638,0.47233558548654053,3.741427056201237,0.0,3.6662141936097132,94151.66639747204,0.0,38.9896403692311,-160.922249316655,572.04,297.28571499999657,473.0,32.46476050828496,0,0,0,38.05978213306414,-0.0,16.129382260996447,0.0,94261.18058048261,-138.1123835659103
1347,2088-01-01,13.63402335,14.527000000000001,1,2088,2088,,0.225578822,1.24,-3.7036618254039095,34.956392954,17.03277423976613,2.052301783721638,0.47233558548654053,3.741427056201237,0.0,17.33768517540391,445247.2944936723,0.0,23.108238297067057,-176.55355921700436,572.04,297.28571499999657,473.0,1523.8821260143459,0,0,0,4.299112998799365,-0.0,16.129382260996447,0.0,446798.5839709825,-144.79286705565858
1348,2088-02-01,10.42878362,14.075999999999999,2,2088,2088,,0.245578822,1.68,-4.108429225112726,34.956392954,17.03277423976613,2.052301783721638,0.47233558548654053,3.741427056201237,0.0,14.537212845112727,373328.65508179413,0.0,47.034380618319915,-195.84882116112362,572.04,297.28571499999657,473.0,1165.6307567193062,0,0,0,201.79854568507886,-0.0,16.129382260996447,0.0,374743.11876481684,-160.42417695600793
1349,2088-03-01,4.690342717,14.027000000000001,3,2088,2088,,0.27,3.41,-4.526110987986924,34.956392954,17.03277423976613,2.052301783721638,0.47233558548654053,3.741427056201237,0.0,9.216453704986925,236686.79154430493,0.0,49.858714463384885,-215.75971079733665,572.04,297.28571499999657,473.0,524.2421292551084,0,0,0,154.35747128747383,-0.0,16.129382260996447,0.0,237415.24985931092,-179.7194389001272
1350,2088-04-01,1.558305118,17.846,4,2088,2088,,0.294421178,4.8,-4.159902909625724,34.956392954,17.03277423976613,2.052301783721638,0.47233558548654053,3.741427056201237,0.0,5.718208027625724,146848.7071886768,0.0,101.82530420280376,-198.30257170185826,572.04,297.28571499999657,473.0,174.17260153048488,0,0,0,69.42223251034711,-0.0,16.129382260996447,0.0,147194.12732692042,-199.63032853634022
1351,2088-05-01,0.38172106299999997,19.494,5,2088,2088,,0.314421178,6.2,-4.085061950287753,34.956392954,17.03277423976613,2.052301783721638,0.47233558548654053,3.741427056201237,0.0,4.466783013287753,114710.99120995153,0.0,106.84051414529476,-194.73490317021717,572.04,297.28571499999657,473.0,42.665168607687335,0,0,0,23.064630188271995,-0.0,16.129382260996447,0.0,114883.56152289278,-182.17318944086182
1352,2088-06-01,0.00339685,24.730999999999998,6,2088,2088,,0.328842356,6.9,-3.084516688096333,34.956392954,17.03277423976613,2.052301783721638,0.47233558548654053,3.741427056201237,0.0,3.087913538096333,79300.38725228758,0.0,384.4592729281052,-147.03891052155217,572.04,297.28571499999657,473.0,0.37966775227444743,0,0,0,5.64989170058612,-0.0,16.129382260996447,0.0,79690.87608466853,-178.60552090922073
1353,2088-07-01,0.058793819000000004,27.265,7,2088,2088,,0.32442117800000003,7.44,-2.4759864145993773,34.956392954,17.03277423976613,2.052301783721638,0.47233558548654053,3.741427056201237,0.0,2.534780233599377,65095.42823786271,0.0,596.6514737660845,-118.03027238395231,572.04,297.28571499999657,473.0,6.571416785363116,0,0,0,0.05027711720255784,-0.0,16.129382260996447,0.0,65698.70140553136,-130.90952826055573
1354,2088-08-01,0.015795353999999998,27.264,8,2088,2088,,0.304421178,6.51,-2.323556153870801,34.956392954,17.03277423976613,2.052301783721638,0.47233558548654053,3.741427056201237,0.0,2.339351507870801,60076.64340490029,0.0,653.5790923528588,-110.76392185502107,572.04,297.28571499999657,473.0,1.7654552157319872,0,0,0,0.870213205955215,-0.0,16.129382260996447,0.0,60732.85816567484,-101.90089012295586
1355,2088-09-01,0.840720472,26.811999999999998,9,2088,2088,,0.28,5.1,-2.2244556522275114,34.956392954,17.03277423976613,2.052301783721638,0.47233558548654053,3.741427056201237,0.0,3.0651761242275115,78716.47008535011,0.0,675.4820894185198,-106.03980094168547,572.04,297.28571499999657,473.0,93.96777952966794,0,0,0,0.23378861719354416,-0.0,16.129382260996447,0.0,79486.1537429155,-94.63453959402462
1356,2088-10-01,1.3540128740000001,24.2,10,2088,2089,,0.25,3.41,-2.4365501271289576,18.912134410999997,17.03277423976613,1.1103378783032394,2.052301783721638,3.741427056201237,0.0,3.790563001128958,97345.05522425746,0.0,630.8950805101761,-116.1503445602374,572.04,297.28571499999657,473.0,151.33874749319062,0,0,0,54.067486161787464,-0.0,16.129382260996447,0.0,98181.35653842262,-89.91041868068902
1357,2088-11-01,1.694179134,15.715,11,2088,2089,,0.225578822,1.8,-3.5188082153437503,18.912134410999997,17.03277423976613,1.1103378783032394,2.052301783721638,3.741427056201237,0.0,5.21298734934375,133874.1873579425,0.0,625.0498622519557,-167.74158762543655,572.04,297.28571499999657,473.0,189.35931340979138,0,0,0,87.07778003040833,-0.0,16.129382260996447,0.0,134775.67431363466,-100.02096229924095
1358,2088-12-01,1.9270332280000002,11.815999999999999,12,2088,2089,,0.215578822,0.93,-3.942610407482177,18.912134410999997,17.03277423976613,1.1103378783032394,2.052301783721638,3.741427056201237,0.0,5.869643635482177,150737.70932511802,0.0,348.62827517964257,-187.94423812467537,572.04,297.28571499999657,473.0,215.38554079012403,0,0,0,108.9541767256193,-0.0,16.129382260996447,0.0,151410.67731781342,-151.61220536444011
1359,2089-01-01,3.2915763389999997,14.556,1,2089,2089,,0.225578822,1.24,-3.699149405629714,18.912134410999997,17.03277423976613,1.1103378783032394,2.052301783721638,3.741427056201237,0.0,6.990725744629714,179528.1026765518,0.0,136.5968884483818,-176.33845216636846,572.04,297.28571499999657,473.0,367.90125853890646,0,0,0,123.92923196022117,-0.0,16.129382260996447,0.0,180156.5300554993,-171.81485586367893
1360,2089-02-01,4.389410079,14.014000000000001,2,2089,2089,,0.245578822,1.68,-4.118931799656962,18.912134410999997,17.03277423976613,1.1103378783032394,2.052301783721638,3.741427056201237,0.0,8.508341878656962,218501.84518712526,0.0,58.21009666988627,-196.34947888964734,572.04,297.28571499999657,473.0,490.6067263802448,0,0,0,211.68422095869875,-0.0,16.129382260996447,0.0,219262.34623113408,-160.20906990537202
