,date,precip_in,mean_temp_c,month,year,p,eto_zone_8,ETo,wy,annual_precip,mean_annual_precip,precip_percent,precip_percent_lag1,soil_water,water_into_soil,excess_water,runoff,water_cap_percent,deep_fault_flow,pond_et,pond_area,pond_volume,pond_elev,direct_rainfall,gw_storage,gw_in_seep,gw_seep_percent,gw_in,gw_out_et,gw_out_bottom,not_root_water,ins,outs,calib_wse_ft
147,1988-01-01,2.56,8.666666667000001,1,1988,0.225382292,1.24,1.9707491368470575,1988,13.479999999999999,23.113095238095237,0.5832191604429564,0.5157249549317537,3.2061779404484856,0.5892508631529427,0.0,0.0,0.28776921404113254,0,3969.4091995697463,24169.951164379763,28523.650002687027,3.7433660251220715,9205.0662067699,0,0,0,617.7908615109717,86.46746552823359,1145.9134196696548,0.0,9822.857068280871,4241.944155107602,
148,1988-02-01,0.44,11.88888889,2,1988,0.245382292,1.68,2.962812544791569,1988,13.479999999999999,23.113095238095237,0.5832191604429564,0.5157249549317537,0.6833653956569163,0.0,0.0,0.0,0.8481949904571624,0,5569.241733746,22556.574131710207,25039.174308317706,3.5993209349323876,1771.5179091333284,0,0,0,474.2219322748657,336.1448763081645,1424.6614598996034,0.0,2245.739841408194,5730.215535777514,
149,1988-03-01,0.38,11.66666667,3,1988,0.27,3.41,3.1980420133726972,1988,13.479999999999999,23.113095238095237,0.5832191604429564,0.5157249549317537,0.0,0.0,0.0,0.0,1.0,0,5120.861320989529,19214.98704360923,19182.360936059304,3.312231783574934,1427.821228128637,0,0,0,91.26416117581944,556.0335409416454,1250.6234868752101,0.0,1519.0853893044564,7375.898761562856,
150,1988-04-01,2.13,12.66666667,4,1988,0.294617708,4.8,3.7941233670945955,1988,13.479999999999999,23.113095238095237,0.5832191604429564,0.5157249549317537,0.0,0.0,0.0,0.0,1.0,0,6136.7558027936075,19409.244905474698,19483.37793578246,3.32859477731854,6817.682891683398,0,0,0,73.55776987766316,511.26720460483807,958.0951362435363,0.0,6891.240661561062,6590.223661837904,
151,1988-05-01,1.18,13.66666667,5,1988,0.314617708,6.2,4.3768507731909265,1988,13.479999999999999,23.113095238095237,0.5832191604429564,0.5157249549317537,0.0,0.0,0.0,0.0,1.0,0,6242.217209771325,17114.270145117494,15927.143916890996,3.1352813263990313,3815.1159798277436,0,0,0,351.2299294657548,612.6941910683353,973.1299343230174,0.0,4166.345909293498,7722.57992818496,
152,1988-06-01,0.37,18.83333333,6,1988,0.329235416,6.9,6.338282678396237,1988,13.479999999999999,23.113095238095237,0.5832191604429564,0.5157249549317537,0.0,0.0,0.0,0.0,1.0,0,6012.997924647297,11384.15226283739,9517.557783984526,2.6777588198626825,1054.817204759941,0,0,0,196.54521012309925,623.2234663912553,795.5078716269294,0.0,1251.3624148830402,7660.948547789509,
153,1988-07-01,0.0,23.94444444,7,1988,0.324617708,7.44,7.964163399105259,1988,13.479999999999999,23.113095238095237,0.5832191604429564,0.5157249549317537,0.0,0.0,0.0,0.0,1.0,0,2862.9729657037897,4313.783365156119,2483.192842626844,1.7230904064055625,0.0,0,0,0,54.34153777950507,600.3381945979088,475.37035989198074,0.0,54.34153777950507,7088.706479137187,
154,1988-08-01,0.0,22.33333333,8,1988,0.304617708,6.51,6.966258250720454,1988,13.479999999999999,23.113095238095237,0.5832191604429564,0.5157249549317537,0.0,0.0,0.0,0.0,1.0,0,19.09915803739191,32.9,0.0,0.0,0.0,0,0,0,0.0,285.8394502961765,124.02722442800068,0.0,0.0,3272.839640427967,
155,1988-09-01,0.0,21.83333333,9,1988,0.28,5.1,6.2585861027777625,1988,13.479999999999999,23.113095238095237,0.5832191604429564,0.5157249549317537,0.0,0.0,0.0,0.0,1.0,0,17.15895689844903,32.9,0.0,0.0,0.0,0,0,0,0.0,1.9068614688039416,0.0,0.0,0.0,21.00601950619585,
156,1988-10-01,0.06,19.16666667,10,1988,0.25,3.41,4.8990073614417895,1989,18.080000000000002,23.113095238095237,0.7822405356682978,0.5832191604429564,0.0,0.0,0.0,0.0,1.0,0,13.431445182619573,32.9,0.0,0.0,0.32882455883549794,0,0,0,0.0,1.7131516316301503,0.0,0.0,0.32882455883549794,18.87210853007918,
