date,access1-0.1.rcp85,access1-3.1.rcp85,bcc-csm1-1.1.rcp85,bcc-csm1-1-m.1.rcp85,canesm2.1.rcp85,canesm2.2.rcp85,canesm2.3.rcp85,canesm2.4.rcp85,canesm2.5.rcp85,ccsm4.1.rcp85,ccsm4.2.rcp85,ccsm4.3.rcp85,ccsm4.4.rcp85,ccsm4.5.rcp85,cesm1-bgc.1.rcp85,cesm1-cam5.1.rcp85,cesm1-cam5.2.rcp85,cesm1-cam5.3.rcp85,cmcc-cm.1.rcp85,cnrm-cm5.1.rcp85,cnrm-cm5.2.rcp85,cnrm-cm5.4.rcp85,cnrm-cm5.6.rcp85,cnrm-cm5.10.rcp85,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,ec-earth.6.rcp85,ec-earth.8.rcp85,ec-earth.12.rcp85,fgoals-g2.1.rcp85,fgoals-s2.2.rcp85,fgoals-s2.3.rcp85,fio-esm.1.rcp85,fio-esm.2.rcp85,fio-esm.3.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp85,giss-e2-r.1.rcp85,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,inmcm4.1.rcp85,ipsl-cm5a-lr.1.rcp85,ipsl-cm5a-lr.2.rcp85,ipsl-cm5a-lr.3.rcp85,ipsl-cm5a-lr.4.rcp85,ipsl-cm5a-mr.1.rcp85,ipsl-cm5b-lr.1.rcp85,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp85,miroc5.1.rcp85,mpi-esm-lr.1.rcp85,mpi-esm-lr.2.rcp85,mpi-esm-lr.3.rcp85,mpi-esm-mr.1.rcp85,mri-cgcm3.1.rcp85,noresm1-m.1.rcp85,noresm1-me.1.rcp85
1976-08-01,0.007,0.001,0.172,0.218,0.002,0.000,0.004,0.009,0.109,0.164,0.017,0.001,0.009,0.004,0.004,0.000,0.000,0.061,0.000,0.002,0.001,0.001,0.004,0.002,0.000,0.002,0.000,0.129,0.020,0.017,0.001,0.041,0.011,0.002,0.045,0.000,0.016,0.000,0.000,0.013,0.105,0.017,0.000,0.001,0.000,0.000,0.002,0.040,0.000,0.293,0.011,0.021,0.006,0.000,0.009,0.005,0.006,0.009,0.002,0.000,0.010,0.084,0.031,0.004,0.020,0.200,0.001,0.001,0.002,0.001
1976-09-01,0.043,0.005,1.852,0.202,0.004,0.257,0.002,0.021,0.004,0.000,1.446,0.162,0.141,0.030,0.211,0.369,0.015,0.043,0.002,0.001,0.045,0.052,0.002,0.130,0.040,0.027,0.193,0.872,0.004,0.000,0.086,0.053,0.165,0.078,0.017,0.006,0.120,0.022,0.000,0.000,0.107,0.038,0.148,0.077,0.191,1.143,1.852,0.032,0.017,0.132,0.005,0.112,0.007,0.015,0.001,0.001,0.118,0.172,0.059,0.000,0.131,0.061,0.045,0.048,0.058,0.024,0.006,0.143,0.004,0.660
1976-10-01,0.173,1.524,0.657,2.097,0.721,0.784,0.408,1.206,1.757,0.001,0.413,1.280,0.215,0.063,0.178,0.142,0.255,0.115,0.366,0.027,0.121,0.229,1.794,1.829,0.010,0.856,1.108,0.604,1.843,0.848,0.640,1.327,0.045,1.324,1.519,0.016,0.184,0.920,0.404,0.055,0.015,1.706,0.171,0.176,0.742,0.021,0.450,0.721,1.809,0.027,0.740,0.122,1.937,1.244,0.182,3.772,1.639,1.886,0.716,0.060,1.870,0.050,0.043,0.066,0.272,0.050,2.336,1.203,1.788,0.017
1976-11-01,0.287,5.237,0.746,0.994,2.272,0.828,0.307,2.722,5.238,1.259,1.391,3.259,0.276,3.775,5.359,4.535,0.373,4.067,2.216,4.333,1.618,1.068,2.903,4.806,0.076,1.313,1.479,5.309,1.426,1.639,0.553,2.981,4.428,3.241,2.054,1.789,2.369,2.315,0.989,4.655,4.945,2.334,0.001,3.011,3.448,5.257,1.697,2.365,0.755,5.569,1.201,2.642,3.652,3.330,5.302,1.789,1.795,5.269,0.406,0.373,6.569,2.751,4.737,6.079,3.353,1.976,0.640,0.341,3.011,1.281
1976-12-01,9.658,6.779,1.699,1.449,8.906,3.178,2.973,5.215,0.311,2.334,3.664,5.723,2.905,7.479,8.853,6.626,4.311,5.526,7.787,7.414,3.614,4.904,10.506,4.795,6.304,0.528,1.072,2.351,5.253,1.000,4.196,5.254,3.040,2.061,2.314,2.449,3.111,2.528,3.652,4.872,2.482,5.137,0.823,1.655,6.538,5.225,2.166,1.871,2.465,0.394,1.646,2.147,5.679,0.658,6.549,0.472,2.190,0.300,2.816,1.984,1.754,5.369,7.373,4.927,1.584,2.292,3.997,5.147,2.323,3.646
1977-01-01,0.336,2.066,6.605,2.880,7.391,1.793,2.506,4.241,12.787,10.001,8.591,6.222,1.596,6.383,12.322,10.724,2.498,9.445,3.040,3.185,6.137,6.288,4.303,6.497,3.563,3.855,8.812,1.756,3.766,11.007,4.214,7.069,2.366,9.488,2.353,0.370,2.114,3.597,7.303,3.561,10.555,3.528,6.652,0.277,3.059,1.241,12.295,0.763,6.897,3.677,1.017,4.751,5.178,3.815,7.679,5.695,1.954,3.563,13.093,3.973,2.752,12.833,3.149,6.520,3.210,2.874,6.141,3.444,1.908,11.552
1977-02-01,2.287,1.271,7.365,2.775,2.108,2.208,0.833,5.596,7.765,6.075,3.776,8.887,1.249,2.265,0.159,2.089,1.445,11.415,1.465,5.111,0.217,6.275,11.662,7.106,3.405,4.814,7.930,1.591,2.011,6.009,10.977,2.304,1.066,11.662,2.368,8.151,2.093,5.226,5.074,0.023,9.820,1.301,3.105,0.057,10.512,7.636,11.438,10.469,2.726,3.389,7.381,1.464,4.196,0.604,9.479,2.136,2.873,10.776,2.636,10.584,6.160,3.028,0.455,0.032,8.692,7.125,0.362,4.576,0.217,1.991
1977-03-01,0.464,0.254,2.224,0.339,3.068,1.299,1.404,2.731,3.332,7.246,2.096,0.974,1.963,6.833,0.118,2.375,2.659,0.331,0.292,5.603,3.034,2.644,2.340,2.327,1.439,5.194,8.247,2.502,3.076,6.613,3.038,2.585,0.314,4.075,0.104,8.657,0.261,0.319,3.264,4.313,3.296,2.096,0.153,5.563,4.129,5.031,3.044,0.070,2.714,2.973,1.776,1.966,7.673,0.070,4.433,0.641,0.232,6.159,0.139,0.186,1.137,3.978,2.648,2.360,2.170,6.919,1.362,2.635,3.112,1.705
1977-04-01,0.299,0.872,1.502,3.389,5.404,0.302,1.912,0.428,2.513,0.863,0.468,0.376,1.589,0.604,1.650,0.565,0.757,1.200,2.887,1.742,5.284,2.430,0.296,2.141,0.291,0.859,0.720,1.935,0.257,0.569,1.941,2.121,0.973,0.314,1.702,2.335,1.924,1.339,1.312,0.824,0.602,3.221,4.149,0.567,0.628,1.831,2.691,3.849,0.485,3.514,0.704,2.445,1.098,0.559,1.543,0.139,1.807,1.420,0.872,0.542,3.781,1.884,0.801,2.450,0.385,0.831,1.472,5.597,0.769,0.266
1977-05-01,0.032,0.010,0.754,0.422,0.232,0.006,0.029,0.331,1.534,0.044,0.856,0.164,2.116,0.362,0.657,0.383,1.529,0.027,0.027,0.068,0.044,0.297,0.182,0.683,0.277,0.190,0.018,0.450,0.148,0.306,2.741,0.305,0.021,0.013,1.065,0.016,0.227,0.004,0.294,0.537,0.218,0.364,0.120,0.127,0.308,0.282,0.013,0.018,0.085,0.066,0.675,0.103,1.430,0.061,3.372,1.867,0.505,0.277,2.557,0.292,1.146,0.000,0.596,0.399,0.027,0.006,0.052,1.028,0.033,0.060
