,date,precip_in,mean_temp_c,month,year,wy,count_col,p,eto_zone_8,ETo,annual_precip,mean_annual_precip,precip_percent,precip_percent_lag1,soil_water,water_into_soil,excess_water,runoff,water_cap_percent,deep_fault_flow,pond_et,pond_area,pond_volume,pond_elev,direct_rainfall,gw_storage,gw_in_seep,gw_seep_percent,gw_in,gw_out_et,gw_out_bottom,not_root_water,ins,outs
1143,2071-01-01,6.3513385829999995,11.173,1,2071,2071,,0.225778698,1.24,2.1095822193968687,22.833188976000002,20.71352425693548,1.1023324033501831,1.1752297341602418,4.24175636360313,4.24175636360313,4.440892098500626e-16,3.637830777355096e-11,0.5125701247318988,358.0594854543472,2548.7517011995515,14498.140974632835,13911.023055869344,804.3843293807128,11271.143485901068,0.0,0.0,0.25,179.85193595055966,159.85902493874437,308.38250995857857,0.0,11809.05490730601,2122.5839979436023
1144,2071-02-01,6.221732283,14.709000000000001,2,2071,2071,,0.245778698,1.68,3.345256913476142,22.833188976000002,20.71352425693548,1.1023324033501831,1.1752297341602418,7.118231733126988,2.876475369523858,0.0,0.0,0.18202779500040212,230.8196599077355,5157.271074942385,18500.0,23300.0,805.0,19412.960700032683,0.0,0.0,0.25,916.0489623846032,87.46286307694622,1015.4724234159954,32288.270814300435,20559.829322325022,3651.686987692493
1145,2071-03-01,0.136692913,17.023,3,2071,2071,,0.27,3.41,4.428917616167039,22.833188976000002,20.71352425693548,1.1023324033501831,1.1752297341602418,2.826007029959949,0.0,0.0,0.0,0.6752571020014775,197.16039552763945,6010.607637481719,16285.534728957646,18104.523787169863,804.6593130352243,544.2342434293668,0.0,0.0,0.25,1577.7656036694793,656.5194132142395,1700.8459673,0.0,2319.160242626486,7514.636455456624
1146,2071-04-01,5.128346457,13.07,4,2071,2071,,0.294221302,4.8,3.422645448378409,22.833188976000002,20.71352425693548,1.1023324033501831,1.1752297341602418,4.53170803858154,1.705701008621591,4.440892098500626e-16,3.637830777355096e-11,0.4792511180154332,304.0299539036615,5276.57839958338,18500.0,23300.0,805.0,17974.115060561355,0.0,0.0,0.25,44.231999584715155,543.0501855100142,1321.5882520727375,0.0,18322.377014049765,7875.246075064471
1147,2071-05-01,0.555314961,17.749000000000002,5,2071,2071,,0.31422130200000004,6.2,5.429599454823829,22.833188976000002,20.71352425693548,1.1023324033501831,1.1752297341602418,0.0,0.0,0.0,0.0,1.0,416.82473226677536,8370.632492853403,18500.0,23300.0,805.0,2210.9516216458373,19853.592367880752,12434.678446419684,0.385114412534981,1460.8251125189536,994.7429001691866,1700.8459673,0.0,16523.27991285125,7972.167267052566
1148,2071-06-01,0.107480315,20.662,6,2071,2071,,0.328442604,6.9,6.829952559010028,22.833188976000002,20.71352425693548,1.1023324033501831,1.1752297341602418,0.0,0.0,0.0,0.0,1.0,1016.1529327857603,10529.51019514046,18500.0,23300.0,805.0,427.9261201901157,8787.371007558162,11066.22136032259,0.3330799049265627,179.69249893985443,1578.0353501141694,1700.8459673,0.0,12689.99291223832,11649.513810267572
1149,2071-07-01,0.00976378,23.229,7,2071,2071,,0.32422130200000004,7.44,7.7465664326038,22.833188976000002,20.71352425693548,1.1023324033501831,1.1752297341602418,0.0,0.0,0.0,0.0,1.0,1603.3593373697663,10910.530661727853,16901.21282503826,19548.999320282073,804.7540327423136,38.873876521387636,0.0,8787.371007558162,0.2867718815987907,34.779193332759355,1985.0279320595412,1700.8459673,0.0,10464.383414782074,14215.384094500001
1150,2071-08-01,0.003661417,23.246,8,2071,2071,,0.304221302,6.51,7.274951023525011,22.833188976000002,20.71352425693548,1.1023324033501831,1.1752297341602418,0.0,0.0,0.0,0.0,1.0,1598.3113770066798,6513.039562472925,10743.230366354426,6769.3676517915355,803.8409152362474,13.317883189879893,0.0,0.0,0.25,3.159428703558685,2056.858079411637,1427.0316162511674,0.0,1614.7886889001184,14394.420357390658
1151,2071-09-01,0.100393701,19.896,9,2071,2071,,0.28,5.1,5.563754555428335,22.833188976000002,20.71352425693548,1.1023324033501831,1.1752297341602418,0.0,0.0,0.0,0.0,1.0,2078.480949269039,2285.8946099212144,4930.256186857037,846.0205448353354,803.1050957198553,232.1183583296134,0.0,0.0,0.25,1.0823953303859046,1227.8411069951148,494.14814041719757,0.0,2311.6817029290382,8235.028809885238
1152,2071-10-01,0.056141732,18.792,10,2071,2072,,0.25,3.41,4.634559562275196,22.156968503999998,20.71352425693548,1.069686077036418,1.1023324033501831,0.0,0.0,0.0,0.0,1.0,1862.7159574970224,1586.2833702335085,4107.27280273797,7.4108939291973,803.0009206079416,59.56942810351026,0.0,0.0,0.25,17.694976973262758,430.937865707383,61.757537851336004,0.0,1939.9803625737954,2778.5900134799335
1153,2071-11-01,0.008267716999999999,16.114,11,2071,2072,,0.225778698,1.8,3.455861771966535,22.156968503999998,20.71352425693548,1.069686077036418,1.1023324033501831,0.0,0.0,0.0,0.0,1.0,1746.7987294423037,1180.7527720885662,4100.0,0.0,803.0,7.308147248046289,0.0,0.0,0.25,4.541130077721936,299.04684450833156,0.540978070968381,0.0,1758.648006768072,1885.8711928128084
1154,2071-12-01,5.714251968999999,11.479000000000001,12,2071,2072,,0.215778698,0.93,2.0958297009157327,22.156968503999998,20.71352425693548,1.069686077036418,1.1023324033501831,3.6184222680842666,3.6184222680842666,0.0,0.0,0.5841988639579836,1148.0466953130167,1552.4823285218044,8888.979831768642,4879.909828574375,803.6061999787049,5042.099138085858,0.0,0.0,0.25,0.5571187828571442,130.0403515187907,0.0,0.0,6190.702952181731,1310.7931236073568
1155,2072-01-01,2.661850394,12.512,1,2072,2072,,0.225778698,1.24,2.4744209809614888,22.156968503999998,20.71352425693548,1.069686077036418,1.1023324033501831,3.805851681122778,0.18742941303851124,0.0,0.0,0.5626609236361753,560.9555239503006,2544.2082184327564,12338.441540909424,8844.035922902876,804.0520679293707,5092.17946130885,0.0,0.0,0.25,384.37213147373313,164.67659290753937,356.2221009750369,0.0,6037.507116732883,2073.381022404381
1156,2072-02-01,9.012834646,12.585,2,2072,2072,,0.245778698,1.68,2.7152632472057765,22.156968503999998,20.71352425693548,1.069686077036418,1.1023324033501831,8.702290480800002,4.896438799677224,1.4011325991169996,114776.11207766755,0.0,557.5282637353762,4186.030839442238,18500.0,23300.0,805.0,23932.598131105628,0.0,0.0,0.25,388.18988278225316,0.0,645.5941130526047,89342.82834992615,139654.42835529082,3189.8023314853613
1157,2072-03-01,1.672047244,13.069,3,2072,2072,,0.27,3.41,3.1405557531650397,22.156968503999998,20.71352425693548,1.069686077036418,1.1023324033501831,7.233781971634962,0.0,0.0,0.0,0.16874965417495924,78.62625737928558,4841.69011946277,18500.0,23300.0,805.0,6657.151031791223,0.0,0.0,0.25,1824.4432533806932,133.16919297966373,1700.8459673,40540.92181059923,8560.220542551204,6020.045999721901
1158,2072-04-01,1.37007874,16.604,4,2072,2072,,0.294221302,4.8,4.67745579129518,22.156968503999998,20.71352425693548,1.069686077036418,1.1023324033501831,3.926404920339782,0.0,0.0,0.0,0.5488078766156255,26.975735184882268,7035.947949747262,18050.705162001806,22245.88518777347,804.930877717231,5454.882408589538,0.0,0.0,0.25,507.49167391491744,500.9285431530965,1700.8459673,0.0,5989.349817689337,7043.464629915866
1159,2072-05-01,1.589055118,16.912,5,2072,2072,,0.31422130200000004,6.2,5.112205600417438,22.156968503999998,20.71352425693548,1.069686077036418,1.1023324033501831,0.40325443792234417,0.0,0.0,0.0,0.9536611149889732,556.3499106882293,7881.316967310217,18500.0,23300.0,805.0,6173.070987606573,33604.82805331615,55738.00029660999,0.6238665299278727,415.8396574336513,1264.9552029277781,1623.8980304997128,0.0,62883.26085233845,9924.801183174754
1160,2072-06-01,0.055511810999999994,21.561,6,2072,2072,,0.328442604,6.9,7.186286023233434,22.156968503999998,20.71352425693548,1.069686077036418,1.1023324033501831,0.0,0.0,0.0,0.0,1.0,806.7517910016724,11078.857619151544,18500.0,23300.0,805.0,221.0167871759306,32603.93227635268,41541.8175875627,0.5602724048756288,470.58901228700864,1485.7893702164633,1700.8459673,0.0,43040.17517802731,11067.95230482668
1161,2072-07-01,0.001220472,24.948,7,2072,2072,,0.32422130200000004,7.44,8.4191633208849,22.156968503999998,20.71352425693548,1.069686077036418,1.1023324033501831,0.0,0.0,0.0,0.0,1.0,1657.3702831363091,12979.543453030888,18500.0,23300.0,805.0,4.859232574454874,18338.439319684672,14265.492956668008,0.38643533842941546,16.848675770095955,2088.591152081896,1700.8459673,0.0,15944.571148148867,14868.29473853344
