,date,precip_in,mean_temp_c,month,year,p,eto_zone_8,ETo,wy,annual_precip,mean_annual_precip,precip_percent,precip_percent_lag1,soil_water,water_into_soil,excess_water,runoff,water_cap_percent,deep_fault_flow,pond_et,pond_area,pond_volume,pond_elev,direct_rainfall,gw_storage,gw_in_seep,gw_seep_percent,gw_in,gw_out_et,gw_out_bottom,not_root_water,ins,outs
379,2007-05-01,0.14,16.11111111,5,2007,0.314617708,6.2,5.171698370384347,2007,12.39,23.113095238095237,0.5360597476178213,1.1638423899047128,0.0,0.0,0.0,0.0,1.0,0,23246.663781414725,53939.72064852752,148313.08849368937,7.138551474894823,1375.3327764536436,0,0,0,1039.7672467888658,1766.041657578952,8532.087498506575,0.0,2415.1000232425095,28552.111859957557
380,2007-06-01,0.0,18.5,6,2007,0.329235416,6.9,6.224858453669801,2007,12.39,23.113095238095237,0.5360597476178213,1.1638423899047128,0.0,0.0,0.0,0.0,1.0,0,24063.53580738558,46388.59370663923,115720.15594647461,6.438859370663923,0.0,0,0,0,156.5725001347578,2249.075026733852,7253.766239200952,0.0,156.5725001347578,32749.50504734953
381,2007-07-01,0.0,20.55555556,7,2007,0.324617708,7.44,6.827190617612078,2007,12.39,23.113095238095237,0.5360597476178213,1.1638423899047128,0.0,0.0,0.0,0.0,1.0,0,23662.135603146173,41590.40565020414,83668.81836316346,5.9488007062755175,0.0,0,0,0,0.0,2328.1060004221,5659.6957755034755,0.0,0.0,32051.337583311153
382,2007-08-01,0.0,21.27777778,8,2007,0.304617708,6.51,6.633938026753104,2007,12.39,23.113095238095237,0.5360597476178213,1.1638423899047128,0.0,0.0,0.0,0.0,1.0,0,17206.80966687412,31125.059530221337,53625.29765110668,4.890632441277667,0.0,0,0,0,0.0,2289.2712160603774,4092.1138928502296,0.0,0.0,30043.52071205678
383,2007-09-01,0.25,18.44444444,9,2007,0.28,5.1,5.277886738843214,2007,12.39,23.113095238095237,0.5360597476178213,1.1638423899047128,0.0,0.0,0.0,0.0,1.0,0,11558.640383406797,26280.15557440365,33413.74819840973,4.356679631200304,1282.7209299045612,0,0,0,0.0,1664.7294543171683,2622.7312614102216,0.0,1282.7209299045612,21494.270382601513
384,2007-10-01,1.31,15.0,10,2007,0.25,3.41,3.8224199444362625,2008,16.31,23.113095238095237,0.7056605717228946,0.5360597476178213,0.0,0.0,0.0,0.0,1.0,0,7347.615833061848,23066.90297728285,24845.074606087597,4.088908581440237,5675.200497329503,0,0,0,67.26031560220085,1118.2787204975684,1634.2153013494765,0.0,5742.460812931704,14311.134405253842
385,2007-11-01,0.65,14.27777778,11,2007,0.225382292,1.8,3.2777900801288644,2008,16.31,23.113095238095237,0.7056605717228946,0.5360597476178213,0.0,0.0,0.0,0.0,1.0,0,5009.740058239133,18340.674426748566,18340.674426748566,3.6950562022290474,2471.6366547541566,0,0,0,297.5828706440072,710.8692856557486,1215.1345860195972,0.0,2769.2195253981636,9273.619704737193
386,2007-12-01,2.28,7.3888888889999995,12,2007,0.215382292,0.93,1.5988720059058552,2008,16.31,23.113095238095237,0.7056605717228946,0.5360597476178213,0.6811279940941446,0.6811279940941446,0.0,0.0,0.8497317349161035,0,2537.5496831280066,19045.049312927345,19045.049312927345,3.753754109410612,6893.3785790245665,0,0,0,129.60189358187333,411.85120320812877,897.0143249803995,0.0,7022.980472606439,6318.605586427661
387,2008-01-01,8.0,7.055555556,1,2008,0.225382292,1.24,1.5954601532846957,2008,16.31,23.113095238095237,0.7056605717228946,0.5360597476178213,4.532746775999999,3.851618781905854,2.5529210648094502,119987.29004604416,0.0,0,7566.411922506657,56909.564856978264,161040.99224419257,7.350683204069877,25116.20795176823,0,0,0,361.4588395506577,0.0,931.4642229698277,0.0,145464.95683736305,3469.0139060978345
388,2008-02-01,3.77,9.166666667000001,2,2008,0.245382292,1.68,2.272433936707388,2008,16.31,23.113095238095237,0.7056605717228946,0.5360597476178213,4.532746775999999,0.0,1.497566063292612,70385.60497475276,0.0,0,13306.402548309941,70266.87464942582,252668.74649425817,8.783359331178227,35367.84485294069,0,0,0,1316.9848828241459,0.0,7876.268537945326,0.0,107070.4347105176,15442.680460451982
389,2008-03-01,0.23,10.66666667,3,2008,0.27,3.41,2.9189905551081057,2008,16.31,23.113095238095237,0.7056605717228946,0.5360597476178213,1.8437562208918936,0.0,0.0,0.0,0.5932364387408051,0,16559.42571921947,68075.9683455962,230759.68345596193,8.509496043199524,2664.1609294896402,0,0,0,1854.5362062155332,763.715817839447,12357.641807852031,0.0,4518.697135705173,26427.760174001418
390,2008-04-01,0.07,11.38888889,4,2008,0.294617708,4.8,3.4050471268905036,2008,16.31,23.113095238095237,0.7056605717228946,0.5360597476178213,0.0,0.0,0.0,0.0,1.0,0,17982.304790238653,63372.88426310904,202237.30557865422,8.037288426310903,785.5500296786995,0,0,0,139.69703055040858,1602.0961628019143,11286.10305551541,0.0,925.2470602291081,29447.624937536795
391,2008-05-01,0.0,15.22222222,5,2008,0.314617708,6.2,4.8826628796090175,2008,16.31,23.113095238095237,0.7056605717228946,0.5360597476178213,0.0,0.0,0.0,0.0,1.0,0,24151.024103468364,59355.3756193029,172665.31714477172,7.544421952412862,0.0,0,0,0,41.19083246068089,1739.7572833300985,9891.117192774444,0.0,41.19083246068089,29613.179266343195
392,2008-06-01,0.0,19.55555556,6,2008,0.329235416,6.9,6.584035170407605,2008,16.31,23.113095238095237,0.7056605717228946,0.5360597476178213,0.0,0.0,0.0,0.0,1.0,0,28219.850456331227,51433.2315535019,137732.9262140076,6.94332315535019,0.0,0,0,0,0.0,2336.5703436801896,8444.796483615553,0.0,0.0,34932.39093076411
393,2008-07-01,0.0,21.5,7,2008,0.324617708,7.44,7.144051883925587,2008,16.31,23.113095238095237,0.7056605717228946,0.5360597476178213,0.0,0.0,0.0,0.0,1.0,0,26283.863861088845,44149.50667460066,100046.54672220464,6.214950667460067,0.0,0,0,0,0.0,2730.2223457217287,6736.306689750005,0.0,0.0,37686.37949180296
394,2008-08-01,0.0,22.16666667,8,2008,0.304617708,6.51,6.913786638232519,2008,16.31,23.113095238095237,0.7056605717228946,0.5360597476178213,0.0,0.0,0.0,0.0,1.0,0,20492.786333861823,35568.560164478644,66326.6403837835,5.297380013706554,0.0,0,0,0,0.0,2542.9189483657506,4893.123528966545,0.0,0.0,33719.90633842114
