,date,precip_in,mean_temp_c,month,year,p,eto_zone_8,ETo,wy,annual_precip,mean_annual_precip,precip_percent,precip_percent_lag1,soil_water,water_into_soil,excess_water,runoff,water_cap_percent,deep_fault_flow,pond_et,pond_area,pond_volume,pond_elev,direct_rainfall,gw_storage,gw_in_seep,gw_seep_percent,gw_in,gw_out_et,gw_out_bottom,not_root_water,ins,outs
400,2009-02-01,7.07,9.0,2,2009,0.245382292,1.68,2.2301658585889577,2009,20.279999999999998,23.113095238095237,0.8774246716456348,0.7056605717228946,4.532746775999999,3.559586731038294,1.2802474103727488,60171.62828751919,0.0,0,8332.39001166639,44834.638533682984,93827.65022008098,5.6247133445973,20745.52597572916,0,0,0,385.06873335896586,0.0,830.9513436325701,0.0,81302.22299660732,4464.499953405327
401,2009-03-01,3.29,9.888888889,3,2009,0.27,3.41,2.701950531114258,2009,20.279999999999998,23.113095238095237,0.8774246716456348,0.7056605717228946,4.532746775999999,0.0,0.588049468885742,27638.325037629875,0.0,0,11756.684949022669,52214.21257112798,134292.5555118182,6.461220998778744,24315.967394582043,0,0,0,1431.9696871510284,0.0,4588.966815959324,0.0,53386.262119362946,12921.356827625714
402,2009-04-01,0.61,11.38888889,4,2009,0.294617708,4.8,3.4050471268905036,2009,20.279999999999998,23.113095238095237,0.8774246716456348,0.7056605717228946,1.7376996491094956,0.0,0.0,0.0,0.6166342981456028,0,14221.423515079749,50118.8605682534,122195.36283772084,6.2209883960493135,5250.498631232944,0,0,0,1678.4210852754925,701.3840191100604,6568.043422473096,0.0,6928.919716508436,19026.112390605827
403,2009-05-01,0.58,16.94444444,5,2009,0.314617708,6.2,5.442669141563625,2009,20.279999999999998,23.113095238095237,0.8774246716456348,0.7056605717228946,0.0,0.0,0.0,0.0,1.0,0,21390.190792430214,47161.104750787825,105776.00849197486,5.884815868528963,4791.937711211534,0,0,0,362.4181373443958,1375.8984417343734,5976.388237487785,0.0,5154.355848555931,21573.710194301908
404,2009-06-01,0.0,17.22222222,6,2009,0.329235416,6.9,5.7900655871143725,2009,20.279999999999998,23.113095238095237,0.8774246716456348,0.7056605717228946,0.0,0.0,0.0,0.0,1.0,0,19782.5342389177,40999.606532146725,77473.77628066031,5.2412565750079185,0.0,0,0,0,330.76575417749154,2069.4644350123367,5173.342738049498,0.0,330.76575417749154,28632.99796549205
405,2009-07-01,0.0,21.88888889,7,2009,0.324617708,7.44,7.2745241710414446,2009,20.279999999999998,23.113095238095237,0.8774246716456348,0.7056605717228946,0.0,0.0,0.0,0.0,1.0,0,20426.522268429162,33695.43649286659,51988.19177016926,4.563588551519671,0.0,0,0,0,0.0,1913.9264085639684,3789.1238630093867,0.0,0.0,25485.584510491055
406,2009-08-01,0.0,21.44444444,8,2009,0.304617708,6.51,6.686409639241039,2009,20.279999999999998,23.113095238095237,0.8774246716456348,0.7056605717228946,0.0,0.0,0.0,0.0,1.0,0,13085.458958748592,23484.27870518665,27042.775433397062,3.682148002784398,0.0,0,0,0,0.0,1976.2311507974634,2542.66291754557,0.0,0.0,24945.416336772196
407,2009-09-01,0.33,22.27777778,9,2009,0.28,5.1,6.387202414367502,2009,20.279999999999998,23.113095238095237,0.8774246716456348,0.7056605717228946,0.0,0.0,0.0,0.0,1.0,0,7810.986744991894,14674.944499811127,12646.235893985253,2.9348893276531687,1277.536000928115,0,0,0,0.0,1265.995810590296,1322.6207710010374,0.0,1277.536000928115,15674.075540339923
408,2009-10-01,4.49,14.94444444,10,2009,0.25,3.41,3.808065444405979,2010,26.45,23.113095238095237,1.144372907545712,0.8774246716456348,0.681934555594021,0.681934555594021,0.0,0.0,0.8495537939148222,0,5148.228249194469,16223.129537095048,14546.255289875426,3.0602175526412254,10861.8747387537,0,0,0,109.64693883354593,642.0074878712792,618.508048833901,0.0,10971.521677587247,9071.502281697074
409,2009-11-01,0.25,12.27777778,11,2009,0.225382292,1.8,2.8119141005020794,2010,26.45,23.113095238095237,1.144372907545712,0.8774246716456348,0.0,0.0,0.0,0.0,1.0,0,2734.5893557801737,11670.012346217409,9789.335556930933,2.7000948845861514,668.5849961372503,0,0,0,932.2409029824114,498.08229241247165,711.4350904572136,0.0,1600.8258991196617,6357.745632064154
410,2009-12-01,3.47,8.222222222000001,12,2009,0.215382292,0.93,1.784374298013661,2010,26.45,23.113095238095237,1.144372907545712,0.8774246716456348,1.6856257019863392,1.6856257019863392,0.0,0.0,0.6281226847016042,0,2259.773502902348,15197.081724958003,13142.651100141153,2.9756872268124903,6675.484194654707,0,0,0,57.38256935478139,166.18044061300517,478.78142440608985,0.0,6732.866764009488,3379.551220799269
411,2010-01-01,7.56,9.277777777999999,1,2010,0.225382292,1.24,2.113100130596026,2010,26.45,23.113095238095237,1.144372907545712,0.8774246716456348,4.532746775999999,2.8471210740136597,2.5997787953903138,122189.60338334474,0.0,0,9728.180747177754,55244.97740351073,151941.93235771582,6.785967543254286,18939.302302131793,0,0,0,572.9360320522135,0.0,642.7869570517206,0.0,141701.84171752876,2902.5604599540684
412,2010-02-01,3.53,9.611111111,2,2010,0.245382292,1.68,2.3851488113517227,2010,26.45,23.113095238095237,1.144372907545712,0.8774246716456348,4.532746775999999,0.0,1.144851188648277,53808.00586646902,0.0,0,13304.434898672243,66936.37647438337,222363.68035290955,7.943593502945089,32147.66894531378,0,0,0,1625.5013710480393,0.0,7431.247440459374,0.0,87581.17618283085,17159.428187637128
413,2010-03-01,1.8,10.55555556,3,2010,0.27,3.41,2.8879848378332085,2010,26.45,23.113095238095237,1.144372907545712,0.8774246716456348,3.44476193816679,0.0,0.0,0.0,0.24002771202527218,0,16037.054170040985,66636.30899976566,220495.66547605535,7.914810825202362,19861.71223687219,0,0,0,2759.1343711074364,308.9591965317112,10875.467389629866,0.0,22620.846607979627,24488.861484833822
414,2010-04-01,4.32,9.666666667000001,4,2010,0.294617708,4.8,2.8806400212036505,2010,26.45,23.113095238095237,1.144372907545712,0.8774246716456348,4.532746775999999,1.0879848378332087,0.35137514096314115,16514.631625267633,0.0,0,17638.922146347424,73479.17969553372,259348.22538186645,8.471623744504122,47454.419145756474,0,0,0,1704.6689448936756,0.0,10784.105640065689,0.0,65673.71971591777,26821.159810106674
