,date,precip_in,mean_temp_c,month,year,p,eto_zone_8,ETo,wy,annual_precip,mean_annual_precip,precip_percent,precip_percent_lag1,soil_water,water_into_soil,excess_water,runoff,water_cap_percent,deep_fault_flow,pond_et,pond_area,pond_volume,pond_elev,direct_rainfall,gw_storage,gw_in_seep,gw_seep_percent,gw_in,gw_out_et,gw_out_bottom,not_root_water,ins,outs
100,1984-02-01,1.88,10.22222222,2,1984,0.245778698,1.68,2.014446375169829,1984,16.32,19.788333333333334,0.8247283753053146,1.9375052640444703,3.795547449687229,0.0,0.0,0.0,0.292368170486072,0,6024.7703171610365,35889.38613460851,96747.62062193987,807.6643693587039,7493.6109493601325,0,0,0,24.61238830636503,263.28966524020973,1391.003740124134,0.0,7518.223337666497,6562.039640171002
101,1984-03-01,1.41,13.55555556,3,1984,0.27,3.41,3.2990938481917422,1984,16.32,19.788333333333334,0.8247283753053146,1.9375052640444703,1.9064536014954867,0.0,0.0,0.0,0.6445658319932641,0,9685.161555071272,35228.44272058443,94469.10516833056,807.6087109659439,5663.981526673717,0,0,0,199.7350423654841,712.5730593407882,1404.8886461466946,0.0,5863.716569039201,8142.232022648519
102,1984-04-01,0.66,12.83333333,4,1984,0.294221302,4.8,3.3386126851244,1984,16.32,19.788333333333334,0.8247283753053146,1.9375052640444703,0.0,0.0,0.0,0.0,1.0,0,8987.615405723143,32304.251807711287,84388.3417581626,807.3624633101231,2602.400097710434,0,0,0,150.9680176663153,1777.1680345762295,1371.8019358972067,0.0,2753.3681153767493,12834.131525544708
103,1984-05-01,0.0,18.38888889,5,1984,0.31422130200000004,6.2,5.672247962815376,1984,16.32,19.788333333333334,0.8247283753053146,1.9375052640444703,0.0,0.0,0.0,0.0,1.0,0,13652.830335211198,28883.427716234157,72595.50081122828,807.074393912946,0.0,0,0,0,69.364488933405,1649.17257345621,1225.417456688378,0.0,69.364488933405,11862.20543586773
104,1984-06-01,0.0,19.11111111,6,1984,0.328442604,6.9,6.215232191046412,1984,16.32,19.788333333333334,0.8247283753053146,1.9375052640444703,0.0,0.0,0.0,0.0,1.0,0,13063.492669032792,25222.21329948426,55383.28782736974,806.4444426598968,0.0,0,0,0,0.0,2505.211040132356,1054.1716085149837,0.0,0.0,17212.21298385854
105,1984-07-01,0.0,23.22222222,7,1984,0.32422130200000004,7.44,7.743914475804817,1984,16.32,19.788333333333334,0.8247283753053146,1.9375052640444703,0.0,0.0,0.0,0.0,1.0,0,14152.337168818169,21930.516737553196,39118.49384538419,805.7623370527896,0.0,0,0,0,0.0,2397.0711752525995,804.2301377001667,0.0,0.0,16264.793981985556
106,1984-08-01,0.0,21.94444444,8,1984,0.304221302,6.51,6.797103033023326,1984,16.32,19.788333333333334,0.8247283753053146,1.9375052640444703,0.0,0.0,0.0,0.0,1.0,0,10117.02650596423,17861.18549060313,21801.242881799655,804.9017208447082,0.0,0,0,0,0.0,2596.867495493587,568.0462992727776,0.0,0.0,17317.250963584534
107,1984-09-01,0.0,23.0,9,1984,0.28,5.1,6.612613715746343,1984,16.32,19.788333333333334,0.8247283753053146,1.9375052640444703,0.0,0.0,0.0,0.0,1.0,0,6955.817666044522,12622.81687402533,9511.22420444404,804.0958179806192,0.0,0,0,0,0.0,1856.4126172934818,316.5795540979027,0.0,0.0,12290.018677355614
108,1984-10-01,1.31,15.44444444,10,1984,0.25,3.41,3.624597096281007,1985,15.65,19.788333333333334,0.7908700412701086,0.8247283753053146,0.0,0.0,0.0,0.0,1.0,0,2125.22679495605,7036.015552084256,2991.7626828200337,803.3716475382386,1850.8203367577287,0,0,0,0.0,1276.3500887563657,138.11410358084666,0.0,1850.8203367577287,8370.281858381735
109,1984-11-01,4.84,11.16666667,11,1984,0.225778698,1.8,2.107856570200618,1985,15.65,19.788333333333334,0.7908700412701086,0.8247283753053146,2.732143429799382,2.732143429799382,0.0,0.0,0.49062640387153844,0,1489.7608910192516,8481.189348917389,4464.376488453794,803.5545809302428,3811.613336797851,0,0,0,20.998846213373998,191.32768790452747,43.44389451688579,0.0,3832.6121830112247,2359.9983773774634
